id,source_country,source_latitude,source_longitude,target_country,target_latitude,target_longitude,year,time,amount,note,linestring
58,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1916,1916-01-01,205,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
59,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1916,1916-01-01,180,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
60,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1916,1916-01-01,92,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
61,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1916,1916-01-01,141,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
62,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1916,1916-01-01,23,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
63,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1916,1916-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
64,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1917,1917-01-01,362,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
65,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1917,1917-01-01,143,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
66,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1917,1917-01-01,149,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
67,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1917,1917-01-01,84,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
68,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1917,1917-01-01,73,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
69,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1917,1917-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
70,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1917,1917-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
71,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1918,1918-01-01,458,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
72,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1918,1918-01-01,74,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
73,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1918,1918-01-01,159,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
74,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1918,1918-01-01,54,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
75,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1918,1918-01-01,58,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
76,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1918,1918-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
77,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1918,1918-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
78,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1919,1919-01-01,522,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
79,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1919,1919-01-01,57,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
80,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1919,1919-01-01,114,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
81,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1919,1919-01-01,25,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
82,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1919,1919-01-01,52,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
83,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1919,1919-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
84,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1919,1919-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
